Source,Target
abstenção,microfone
microfone,localizado
localizado,plenário
plenário,forma
forma,possa
possa,identificar
identificar,voto
voto,chamada
chamada,ocorrerá
ocorrerá,término
término,chamada
chamada,estado
estado,declarações
declarações,escritas
escritas,voto
voto,recepcionadas
recepcionadas,conformidade
conformidade,disposto
disposto,parágrafo
parágrafo,único
único,artigo
artigo,regimento
regimento,interno
interno,conclusão
conclusão,votação
votação,membros
membros,mesa
mesa,repetirão
repetirão,nome
nome,deputado
deputado,consignar
consignar,voto
voto,seguir
seguir,indicarão
indicarão,total
total,votos
votos,abstenção
abstenção,ausências
ausências,devem
devem,anunciar
anunciar,número
número,total
total,votos
votos,acompanhado
acompanhado,Plenário
Plenário,esclarecimento
esclarecimento,fazer
fazer,faça
faça,gentileza
gentileza,Dá
Dá,licença
licença,queria
queria,pedir
pedir,deputada
deputada,queria
queria,fazer
fazer,questão
questão,esclarecimento
esclarecimento,presidência
presidência,Deputado
Deputado,quinal
quinal,queria
queria,indagar
indagar,excelência
excelência,esclarecimento
esclarecimento,falhamos
falhamos,interpretação
interpretação,desculpamos
desculpamos,interpretação
interpretação,excelência
excelência,orientou
orientou,haverá
haverá,primeira
primeira,chamada
chamada,estados
estados,votação
votação,eventuais
eventuais,retardatários
retardatários,ausentes
ausentes,excelência
excelência,chamará
chamará,estados
estados,sequência
sequência,chamada
chamada,segunda
segunda,chamada
chamada,critério
critério,tem
tem,disposição
disposição,expressa
expressa,parlamentares
parlamentares,presentes
presentes,votar
votar,hora
hora,chamados
chamados,presidência
presidência,fazer
fazer,segunda
segunda,chamada
chamada,fim
fim,estado
estado,gente
gente,pode
pode,chamar
chamar,chegou
chegou,critério
critério,presidência
presidência,adotar
adotar,acordo
acordo,pal
pal,senhor
senhor,presidente
presidente,claro
claro,critério
critério,exelência
exelência,adotou
adotou,agradeço
agradeço,favor
favor,pedido
pedido,convido
convido,presidente
presidente,especial
especial,mesa
mesa,gente
gente,genza
genza,relator
relator,membros
membros,mesa
mesa,fazer
fazer,chamada
chamada,presidente
presidente,especial
especial,bom
bom,primeiro
primeiro,registrar
registrar,relação
relação,pedido
pedido,esclarecimento
esclarecimento,acordado
acordado,colégio
colégio,líderes
líderes,partir
partir,fala
fala,excelência
excelência,chamados
chamados,ausentes
ausentes,estados
estados,gostaria
gostaria,fazer
fazer,registro
registro,dia
dia,entendo
entendo,plenário
plenário,apreciar
apreciar,admissibilidade
admissibilidade,interpretação
interpretação,rejeitará
rejeitará,relator
relator,relatório
relatório,relator
relator,acatando
acatando,abertura
abertura,processo
processo,mesa
mesa,mesa
mesa,ladeada
ladeada,seguida
seguida,manifestantes
manifestantes,partes
partes,adequado
adequado,obrigado
obrigado,quero
quero,registrar
registrar,devem
devem,retirar
retirar,mesa
mesa,manifestantes
manifestantes,posições
posições,mesa
mesa,mesa
mesa,deputados
deputados,têm
têm,liberdade
liberdade,posicionar
posicionar,cabe
cabe,presidente
presidente,casa
casa,posso
posso,determinar
determinar,sente
sente,mesa
mesa,posso
posso,determinar
determinar,fique
fique,espaço
espaço,plenário
plenário,tenho
tenho,oses
oses,discurso
discurso,retórico
retórico,simbólico
simbólico,imagem
imagem,direito
direito,defesa
defesa,excelência
excelência,tem
tem,direito
direito,permanecer
permanecer,problema
problema,excelência
excelência,convidado
convidado,cono
cono,pedir
pedir,respeito
respeito,haja
haja,interrupção
interrupção,possa
possa,cortar
cortar,interrupção
interrupção,implicar
implicar,gente
gente,haver
haver,tipo
tipo,prorrogação
prorrogação,mesma
mesma,forma
forma,fala
fala,líderes
líderes,independente
independente,posições
posições,têm
têm,direito
direito,expressar
expressar,posição
posição,Presidente
Presidente,esclarecimento
esclarecimento,Presidente
Presidente,votação
votação,votação
votação,Deputado
Deputado,votação
votação,Deputado
Deputado,Presidente
Presidente,afirmou
afirmou,entendimento
entendimento,segunda
segunda,chamada
chamada,deve
deve,feita
feita,estados
estados,feito
feito,matéria
matéria,matéria
matéria,esclarecida
esclarecida,há
há,esclarecimento
esclarecimento,repetir
repetir,mesma
mesma,coisa
coisa,questão
questão,presidente
presidente,Presidente
Presidente,há
há,questão
questão,questão
questão,protelação
protelação,voltar
voltar,falar
falar,assunto
assunto,esclarecer
esclarecer,divulgamos
divulgamos,escrito
escrito,procedimento
procedimento,tiver
tiver,cuidado
cuidado,ler
ler,escrito
escrito,tinha
tinha,menção
menção,segunda
segunda,chamada
chamada,esendo
esendo,aunda
aunda,chamada
chamada,indagado
indagado,parlamentares
parlamentares,votar
votar,votar
votar,ausente
ausente,ausência
ausência,conceda
conceda,palavra
palavra,Deputado
Deputado,ar
ar,relator
relator,minutos
minutos,acompanha
acompanha,rádio
rádio,TV
TV,cmara
cmara,câmara
câmara,deputados
deputados,vota
vota,parecer
parecer,deputado
deputado,jovir
jovir,anantes
anantes,pede
pede,admissibilidade
admissibilidade,abertura
abertura,processo
processo,impeachment
impeachment,presidente
presidente,momento
momento,plenário
plenário,lotado
lotado,mesa
mesa,diretora
diretora,pode
pode,ouvir
ouvir,deputados
deputados,reclamando
reclamando,manifestando
manifestando,existem
existem,deputados
deputados,reclamando
reclamando,deputados
deputados,favor
favor,impeachment
impeachment,mesa
mesa,diretora
diretora,momento
momento,excelência
excelência,respeitar
respeitar,plenário
plenário,excelência
excelência,respeitar
respeitar,plenário
plenário,grito
grito,excelência
excelência,ganhar
ganhar,peça
peça,segurança
segurança,perm
perm,retire
retire,local
local,adequado
adequado,peça
peça,segurança
segurança,concedo
concedo,palavra
palavra,relator
relator,pesso
pesso,peço
peço,relator
relator,posicionado
posicionado,peço
peço,quero
quero,quero
quero,gentileza
gentileza,tribuna
tribuna,tribuna
tribuna,tribuna
tribuna,tribuna
tribuna,reservada
reservada,orador
orador,excelência
excelência,ganhar
ganhar,gro
gro,excelência
excelência,posso
posso,pedir
pedir,ficar
ficar,tirar
tirar,Deputado
Deputado,mando
mando,tirar
tirar,exelência
exelência,local
local,excelência
excelência,pode
pode,ficar
ficar,excelência
excelência,venha
venha,fica
fica,deputado
deputado,peço
peço,retirado
retirado,parlamentar
parlamentar,gente
gente,possa
possa,continuar
continuar,sessão
sessão,excelência
excelência,excelência
excelência,local
local,cabe
cabe,parlamentar
parlamentar,ficar
ficar,excelência
excelência,excelência
excelência,manda
manda,casa
casa,cumpr
cumpr,reg
reg,relator
relator,relator
relator,posicionado
posicionado,quero
quero,ver
ver,relator
relator,favor
favor,põe
põe,visor
visor,ver
ver,relator
relator,visor
visor,ver
ver,relator
relator,acompanha
acompanha,rádio
rádio,câmara
câmara,deputados
deputados,subiram
subiram,diretora
diretora,começou
começou,tumulto
tumulto,parte
parte,plenário
plenário,deputados
deputados,fazem
fazem,empurram
empurram,maioria
maioria,impõe
impõe,cartazes
cartazes,empurro
empurro,empurro
empurro,envolve
envolve,deputados
deputados,favoráveis
favoráveis,presidente
presidente,dma
dma,manutenção
manutenção,presidente
presidente,confusão
confusão,estende
estende,local
local,ficam
ficam,diretores
diretores,mesa
mesa,diretora
diretora,deputados
deputados,conduzem
conduzem,aão
aão,emaio
emaio,havendo
havendo,empurra
empurra,danado
danado,deputados
deputados,golpe
golpe,golpe
golpe,ter
ter,golpe
golpe,ter
ter,golpe
golpe,ter
ter,golpe
golpe,ter
ter,Música
Música,golpe
golpe,relator
relator,quero
quero,pedir
pedir,faixa
faixa,faixa
faixa,proibido
proibido,ter
ter,senhor
senhor,presidente
presidente,faixa
faixa,admitido
admitido,faixa
faixa,admitido
admitido,gan
gan,pode
pode,retirar
retirar,faixas
faixas,pode
pode,retirar
retirar,faixa
faixa,natureza
natureza,plenário
plenário,retirada
retirada,faixa
faixa,plenário
plenário,pedir
pedir,palavra
palavra,relator
relator,abre
abre,microfone
microfone,silêncio
silêncio,estabelecido
estabelecido,prorrogar
prorrogar,tempo
tempo,relator
relator,consiga
consiga,ter
ter,tempo
tempo,silêncio
silêncio,palavra
palavra,relator
relator,senhor
senhor,presidente
presidente,senhoras
senhoras,senhores
senhores,deputados
deputados,brasileiro
brasileiro,chegada
chegada,hora
hora,votação
votação,aprovado
aprovado,comissão
comissão,especial
especial,tive
tive,honra
honra,rar
rar,momentos
momentos,importantes
importantes,história
história,recente
recente,país
país,verdade
verdade,solarada
solarada,senhor
senhor,presidente
presidente,domingo
domingo,dia
dia,abril
abril,faz
faz,hisa
hisa,decidir
decidir,queremos
queremos,Futuro
Futuro,país
país,situação
situação,grave
grave,adianta
adianta,tirar
tirar,senhores
senhores,deputados
deputados,virar
virar,página
página,história
história,hora
hora,reescrevê-la
reescrevê-la,buscar
buscar,busca
busca,novo
novo,tempo
tempo,quero
quero,pedir
pedir,pessoal
pessoal,direita
direita,favor
favor,dá
dá,gente
gente,falar
falar,jeito
jeito,interrompe
interrompe,tempo
tempo,gentileza
gentileza,quero
quero,possibilidade
possibilidade,relator
relator,usar
usar,palavra
palavra,queria
queria,pedir
pedir,colegas
colegas,Deputado
Deputado,quero
quero,ocupada
ocupada,relator
relator,ocupada
ocupada,orador
orador,intervenções
intervenções,relator
relator,líderes
líderes,comportamento
comportamento,adequamos
adequamos,início
início,sessão
sessão,perdeu
perdeu,madrugadas
madrugadas,orador
orador,senhor
senhor,presidente
presidente,dar
dar,resposta
resposta,população
população,brasileira
brasileira,fortalecendo
fortalecendo,democracia
democracia,resposta
resposta,conhecida
conhecida,escolha
escolha,aleatória
aleatória,base
base,legal
legal,escolha
escolha,base
base,há
há,fatos
fatos,graves
graves,gravíssimos
gravíssimos,atentam
atentam,constituição
constituição,competência
competência,casa
casa,Públicas
Públicas,responsabilidade
responsabilidade,fiscal
fiscal,transparência
transparência,país
país,digo
digo,colegas
colegas,parlamentares
parlamentares,povo
povo,brasileiro
brasileiro,elaborei
elaborei,parecer
parecer,seriedade
seriedade,absoluta
absoluta,isenção
isenção,trabalho
trabalho,dedicação
dedicação,respeito
respeito,constitui
constitui,leis
leis,brasileiras
brasileiras,sabedor
sabedor,relevância
relevância,recomendar
recomendar,abertura
abertura,processo
processo,responsabilidade
responsabilidade,país
país,relembro
relembro,colegas
colegas,decidindo
decidindo,questão
questão,legitimidade
legitimidade,constituci
constituci,senores
senores,umem
umem,contagem
contagem,votos
votos,popular
popular,pode
pode,eleito
eleito,voto
voto,popular
popular,votos
votos,autorizam
autorizam,descumprimento
descumprimento,votos
votos,autorizam
autorizam,prática
prática,atentam
atentam,contas
contas,Finanças
Finanças,Públicas
Públicas,votos
votos,permite
permite,presidente
presidente,república
república,massacre
massacre,situação
situação,econômica
econômica,país
país,projeto
projeto,projeto
projeto,poder
poder,votos
votos,servem
servem,justificativa
justificativa,prática
prática,economia
economia,país
país,democracia
democracia,saber
saber,respeitar
respeitar,instituições
instituições,submeter
submeter,Constituição
Constituição,observar
observar,leis
leis,orçamentárias
orçamentárias,fiscais
fiscais,transparente
transparente,trato
trato,Finanças
Finanças,Públicas
Públicas,diferença
diferença,apropria
apropria,interrompe
interrompe,gentileza
gentileza,Deputado
Deputado,tempo
tempo,peço
peço,pessoas
pessoas,liberada
liberada,visão
visão,relator
relator,gentileza
gentileza,colocar
colocar,respeito
respeito,processo
processo,limpar
limpar,palavras
palavras,líderes
líderes,função
função,provocado
provocado,virou
virou,disputa
disputa,fazer
fazer,apelo
apelo,parlamentares
parlamentares,t
t,direito
direito,ficar
ficar,lugares
lugares,plenário
plenário,deixe
deixe,mesa
mesa,guardar
guardar,tempo
tempo,ter
ter,golpe
golpe,queria
queria,queria
queria,dar
dar,palavra
palavra,plenário
plenário,chamar
chamar,plenário
plenário,razão
razão,processo
processo,vivendo
vivendo,podemos
podemos,passar
passar,imagem
imagem,apreciando
apreciando,processo
processo,grave
grave,luta
luta,disputa
disputa,política
política,faça
faça,façam
façam,discursos
discursos,respeito
respeito,ter
ter,respeito
respeito,respeito
respeito,companheiros
companheiros,deputados
deputados,respeito
respeito,país
país,assistindo
assistindo,deputados
deputados,ocupavam
ocupavam,mesa
mesa,diretora
diretora,retiram
retiram,deputado
deputado,devolve
devolve,palavra
palavra,relator
relator,Deputado
Deputado,jvir
jvir,arandes
arandes,pedindo
pedindo,excelência
excelência,puder
puder,cooperar
cooperar,espaço
espaço,espaço
espaço,disputado
disputado,deputados
deputados,espaço
espaço,televisões
televisões,televisões
televisões,redes
redes,televisão
televisão,Filmando
Filmando,parte
parte,reitera
reitera,pedido
pedido,retirem
retirem,mesa
mesa,permanecer
permanecer,relator
relator,presidente
presidente,especial
especial,primeiro
primeiro,secretário
secretário,Deputado
Deputado,mento
mento,secretário
secretário,Deputado
Deputado,felip
felip,barni
barni,terceira
terceira,secretária
secretária,deputada
deputada,desejar
desejar,participar
participar,mesa
mesa,quarto
quarto,secretário
secretário,suplente
suplente,registrar
registrar,ausência
ausência,chamadas
chamadas,membros
membros,mesa
mesa,podem
podem,sei
sei,primeiro
primeiro,vice
vice,vice
vice,quiserem
quiserem,participar
participar,membros
membros,titulares
titulares,mesa
mesa,venham
venham,participar
participar,paraa
paraa,eventual
eventual,ausência
ausência,substituir
substituir,Deputado
Deputado,jovai
jovai,retomar
retomar,tempo
tempo,interrompido
interrompido,minutos
minutos,favor
favor,retomando
retomando,agradecendo
agradecendo,atenção
atenção,colegas
colegas,diferença
diferença,apropria
apropria,dinheiro
dinheiro,público
público,senhor
senhor,presidente
presidente,praticando
praticando,ato
ato,corrupção
corrupção,mascara
mascara,real
real,situação
situação,financeira
financeira,país
país,projeto
projeto,poder
poder,realiza
realiza,operações
operações,contáveis
contáveis,ilegais
ilegais,gerando
gerando,consequências
consequências,gravíssimas
gravíssimas,situação
situação,econômica
econômica,país
país,golpe
golpe,instrumento
instrumento,legítimo
legítimo,constitucional
constitucional,permite
permite,fiscalização
fiscalização,controle
controle,poder
poder,República
República,relação
relação,gravidade
gravidade,fatos
fatos,justifica
justifica,intervenção
intervenção,fato
fato,momento
momento,senhores
senhores,parlamentares
parlamentares,venho
venho,fazer
fazer,discurso
discurso,eminentemente
eminentemente,político
político,missão
missão,vossas
vossas,excelências
excelências,cumpriram
cumpriram,últimos
últimos,dias
dias,interrupção
interrupção,casa
casa,sessão
sessão,longa
longa,história
história,parlamento
parlamento,brasileiro
brasileiro,forma
forma,democrática
democrática,povo
povo,brasileiro
brasileiro,teve
teve,tem
tem,voz
voz,representada
representada,casa
casa,vossas
vossas,excelências
excelências,vocês
vocês,parabéns
parabéns,orgulho
orgulho,fazer
fazer,parte
parte,casa
casa,especial
especial,legislatura
legislatura,resultado
resultado,sai
sai,fortalecido
fortalecido,restabelece
restabelece,credibilidade
credibilidade,merece
merece,respeito
respeito,população
população,brasileira
brasileira,demonstramos
demonstramos,país
país,temha
temha,Parlamento
Parlamento,forte
forte,deputados
deputados,funciona
funciona,casa
casa,cumpra
cumpra,papel
papel,institucional
institucional,constitui
constitui,mero
mero,puxadinho
puxadinho,tomar
tomar,papel
papel,acusador
acusador,cabe
cabe,posso
posso,passa
passa,defender
defender,parecer
parecer,serenidade
serenidade,gritaria
gritaria,esperneio
esperneio,fazer
fazer,cena
cena,disputa
disputa,pode
pode,ganhar
ganhar,grito
grito,acusação
acusação,feita
feita,denunciantes
denunciantes,jogador
jogador,processo
processo,jurídico
jurídico,político
político,vossas
vossas,excelências
excelências,senhoras
senhoras,senhores
senhores,deputados
deputados,importante
importante,ressaltar
ressaltar,vez
vez,serenidade
serenidade,legalidade
legalidade,condução
condução,trabalhos
trabalhos,comissão
comissão,especial
especial,oportunidade
oportunidade,parabenizo
parabenizo,membros
membros,parabenizo
parabenizo,bancada
bancada,partido
partido,membros
membros,presidente
presidente,comissão
comissão,conduziu
conduziu,trabalhos
trabalhos,forma
forma,irretocável
irretocável,segurança
segurança,imparcialidade
imparcialidade,cordialidade
cordialidade,respeito
respeito,brasileiros
brasileiros,brasileiras
brasileiras,cumprimento
cumprimento,vice-presidentes
vice-presidentes,deputados
deputados,fando
fando,coel
coel,filho
filho,começo
começo,senhor
senhor,presidente
presidente,buscou-se
buscou-se,diálogo
diálogo,líderes
líderes,deputados
deputados,fixar
fixar,plano
plano,trabalho
trabalho,justo
justo,equilibrado
equilibrado,proporcionando
proporcionando,correntes
correntes,pensamento
pensamento,oportunidade
oportunidade,manifestarem
manifestarem,decorrer
decorrer,debates
debates,contras
contras,buscou-se
buscou-se,diálogo
diálogo,fim
fim,adotar
adotar,procedimento
procedimento,tocável
tocável,ponto
ponto,vista
vista,constitucional
constitucional,legal
legal,regimental
regimental,buscou-se
buscou-se,esclarecer
esclarecer,deputados
deputados,denúncia
denúncia,audiências
audiências,públicas
públicas,compareceram
compareceram,autores
autores,fez
fez,denúncia
denúncia,senora
senora,conosco
conosco,dia
dia,seguinte
seguinte,dia
dia,seguinte
seguinte,ministro
ministro,Fazenda
Fazenda,senhor
senhor,indicados
indicados,defender
defender,presidente
presidente,bancada
bancada,governo
governo,29:40
29:40,referidas
referidas,audiências
audiências,houve
houve,maior
maior,amplo
amplo,debate
debate,termos
termos,denúncia
denúncia,destacando
destacando,pluralidade
pluralidade,perspectivas
perspectivas,realizadas
realizadas,senhores
senhores,deputados
deputados,sessões
sessões,ocorreram
ocorreram,horas
horas,debate
debate,impeachment
impeachment,caracterizado
caracterizado,publicidade
publicidade,transparência
transparência,legitimidade
legitimidade,assegurada
assegurada,cumprimento
cumprimento,fiel
fiel,normas
normas,jurídicas
jurídicas,pertinentes
pertinentes,fiscalização
fiscalização,sentido
sentido,exercito
exercito,parlamentares
parlamentares,partidos
partidos,políticos
políticos,meios
meios,comunicação
comunicação,brasileira
brasileira,fase
fase,atual
atual,relembro
relembro,colegas
colegas,admissibilidade
admissibilidade,denúncia
denúncia,julgamento
julgamento,definitivo
definitivo,senado
senado,federal
federal,terá
terá,oportunidade
oportunidade,defender
defender,forma
forma,sobram
sobram,justificativas
justificativas,jurídicas
jurídicas,políticas
políticas,instação
instação,ponto
ponto,vista
vista,jurídico
jurídico,conclui
conclui,existência
existência,indícios
indícios,suficientes
suficientes,crimes
crimes,responsabilidade
responsabilidade,parte
parte,presidente
presidente,conclui
conclui,tendo
tendo,base
base,conteúdo
conteúdo,denúncia
denúncia,recebida
recebida,casa
casa,apontei
apontei,único
único,fundamento
fundamento,jurídico
jurídico,justificar
justificar,abertura
abertura,processo
processo,relacionado
relacionado,fatos
fatos,admitidos
admitidos,decisão
decisão,houve
houve,extrapolação
extrapolação,casa
casa,deixei
deixei,indícios
indícios,crimes
crimes,responsabilidades
responsabilidades,considerados
considerados,relatório
relatório,referiram
referiram,fatos
fatos,ocorridos
ocorridos,ano
ano,relativos
relativos,abertura
abertura,créditos
créditos,suplementares
suplementares,decreto
decreto,presidencial
presidencial,autorização
autorização,casa
casa,contratação
contratação,ilegal
ilegal,operações
operações,crédito
crédito,usurpando
usurpando,forma
forma,condição
condição,casa
casa,edição
edição,decretos
decretos,abertura
abertura,créditos
créditos,suplementares
suplementares,exercício
exercício,devida
devida,autorização
autorização,ferir
ferir,separação
separação,poderes
poderes,revela
revela,comportamento
comportamento,unilateral
unilateral,viés
viés,autoritário
autoritário,afrontoso
afrontoso,instituições
instituições,conduta
conduta,gravíssima
gravíssima,usurpa
usurpa,competência
competência,legislativo
legislativo,fere
fere,constituição
constituição,gera
gera,consequências
consequências,drásticas
drásticas,economia
economia,consequências
consequências,drásticas
drásticas,economia
economia,volto
volto,repetir
repetir,consequências
consequências,drásticas
drásticas,economia
economia,povo
povo,brasileiro
brasileiro,sustenta
sustenta,argumento
argumento,houve
houve,má
má,fé
fé,presidente
presidente,república
república,edição
edição,referidos
referidos,decretos
decretos,partidos
partidos,políticos
políticos,denunciaram
denunciaram,prática
prática,tribunal
tribunal,contas
contas,União
União,mês
mês,dezembro
dezembro,havia
havia,Debate
Debate,político
político,ilicitude
ilicitude,práticas
práticas,retira
retira,fé
fé,objetiva
objetiva,presidente
presidente,república
república,deu
deu,continuidade
continuidade,continuou
continuou,cometendo
cometendo,mesmos
mesmos,crimes
crimes,houvesse
houvesse,poder
poder,legislativo
legislativo,legítimo
legítimo,eleito
eleito,povo
povo,brasileiro
brasileiro,fato
fato,detectou
detectou,irregularidades
irregularidades,ano
ano,modo
modo,exime
exime,responsabilidade
responsabilidade,senhora
senhora,Presidente
Presidente,autorizou
autorizou,continuar
continuar,práticas
práticas,longo
longo,ano
ano,agente
agente,político
político,precisa
precisa,aviso
aviso,prévio
prévio,cumprir
cumprir,leis
leis,constituição
constituição,volto
volto,repetir
repetir,agente
agente,político
político,precisa
precisa,aviso
aviso,cumprir
cumprir,leis
leis,leis
leis,amplo
amplo,conhecimento
conhecimento,proibitivo
proibitivo,conduta
conduta,vista
vista,debate
debate,público
público,torno
torno,processo
processo,apreciação
apreciação,contas
contas,fato
fato,grande
grande,número
número,técnicos
técnicos,governo
governo,avalizados
avalizados,decretos
decretos,Afasta
Afasta,responsabilidade
responsabilidade,presidente
presidente,gestor
gestor,recurso
recurso,público
público,pode
pode,eximir-se
eximir-se,responsabilidade
responsabilidade,atos
atos,praticou
praticou,contratação
contratação,ilegal
ilegal,operações
operações,créditos
créditos,chamadas
chamadas,pedaladas
pedaladas,fiscais
fiscais,há
há,indícios
indícios,suficientes
suficientes,atrasos
atrasos,sistemáticos
sistemáticos,volumosos
volumosos,ano
ano,relação
relação,plano
plano,possui
possui,elementos
elementos,essenciais
essenciais,característicos
característicos,verdadeira
verdadeira,operação
operação,crédito
crédito,atrasos
atrasos,representam
representam,compromissos
compromissos,canalizando
canalizando,parte
parte,considerável
considerável,recursos
recursos,captados
captados,setor
setor,privado
privado,financiar
financiar,despesas
despesas,públicas
públicas,ilegal
ilegal,análises
análises,fatos
fatos,narrado
narrado,argumentos
argumentos,defesa
defesa,apontaram
apontaram,indícios
indícios,suficientes
suficientes,transações
transações,financeiras
financeiras,relatadas
relatadas,constituíram
constituíram,tipo
tipo,financiamento
financiamento,bancário
bancário,configurando
configurando,prática
prática,responsabilidade
responsabilidade,afirmaram
afirmaram,houve
houve,mafé
mafé,procur
procur,presidente
presidente,república
república,governos
governos,anteriores
anteriores,adotado
adotado,práticas
práticas,concordâncias
concordâncias,tribunal
tribunal,concordância
concordância,verdade
verdade,verdade
verdade,estatísticas
estatísticas,levantadas
levantadas,divulgadas
divulgadas,imprensa
imprensa,revelam
revelam,governo
governo,anterior
anterior,atrasou
atrasou,tempo
tempo,repasse
repasse,bancos
bancos,públicos
públicos,reais
reais,volume
volume,gigantesco
gigantesco,totaliza
totaliza,reais
reais,aliada
aliada,pagamento
pagamento,dívida
dívida,levou
levou,afirmar
afirmar,prática
prática,configurava
configurava,configura
configura,contratação
contratação,ilegal
ilegal,crédito
crédito,disse
disse,alterou
alterou,entendimento
entendimento,verdade
verdade,situações
situações,ocorridas
ocorridas,anos
anos,anteriores
anteriores,Presidente
Presidente,semelhante
semelhante,atos
atos,irregularidade
irregularidade,fiscal
fiscal,praticada
praticada,atual
atual,administração
administração,detectou
detectou,conduta
conduta,ilícita
ilícita,primeira
primeira,vez
vez,apreciação
apreciação,contas
contas,presidenciais
presidenciais,atraso
atraso,pagamento
pagamento,bancos
bancos,públicos
públicos,chamou
chamou,atenção
atenção,montante
montante,dinheiro
dinheiro,público
público,chegou
chegou,valores
valores,exorbitantes
exorbitantes,prática
prática,continuou
continuou,relatório
relatório,claro
claro,dizer
dizer,operação
operação,crédito
crédito,ilegal
ilegal,decorre
decorre,gestão
gestão,ordinária
ordinária,plano
plano,contrário
contrário,operação
operação,crédito
crédito,ilegal
ilegal,decorre
decorre,atrasos
atrasos,sistemáticos
sistemáticos,volumosos
volumosos,repasso
repasso,dinheiro
dinheiro,ultrapassaram
ultrapassaram,reais
reais,razoável
razoável,conceber
conceber,decisão
decisão,tomada
tomada,laval
laval,tem
tem,comando
comando,superior
superior,governo
governo,decisão
decisão,diga-se
diga-se,passagem
passagem,estrutura
estrutura,montada
montada,governo
governo,previa
previa,artificial
artificial,reais
reais,gastar
gastar,despesas
despesas,obrigatórias
obrigatórias,responsabilidade
responsabilidade,fiscal
fiscal,proibia
proibia,gastar
gastar,dinheiro
dinheiro,família
família,sabe
sabe,cidade
cidade,cantinho
cantinho,situação
situação,financeira
financeira,piorou
piorou,passou
passou,grave
grave,fragilidade
fragilidade,economias
economias,domésticas
domésticas,preciso
preciso,diminuir
diminuir,gastos
gastos,pai
pai,família
família,sabe
sabe,disse
disse,parecer
parecer,formação
formação,economista
economista,notório
notório,controle
controle,centralizador
centralizador,condução
condução,econômica
econômica,tornam
tornam,difícil
difícil,aceitar
aceitar,argumentação
argumentação,sabia
sabia,fatos
fatos,tratados
tratados,país
país,má
má,fé
fé,participar
participar,ação
