Source,Target
Deputado,Estado
Estado,Total
Total,Estado
Estado,Total
Total,Total
Total,Consultei
Consultei,Parlamento
Parlamento,Total
Total,Total
Total,Povo
Povo,Total
Total,Total
Total,Estado
Estado,Total
Total,Deputado
Deputado,Pregando
Pregando,Estado
Estado,Ceará
Ceará,Carrego
Carrego,Total
Total,Maranhão
Maranhão,Maranhão
Maranhão,Total
Total,Governador
Governador,Governador
Governador,Governador
Governador,Deputado filho
Deputado filho,Deputado
Deputado,Ceará
Ceará,Governador
Governador,Deputado
Deputado,Federais
Federais,Deputado
Deputado,Deputado
Deputado,Total
Total,Fortaleza
Fortaleza,Deputado
Deputado,Vejam
Vejam,Deputado
Deputado,Estado
Estado,Estado
Estado,Deputado
Deputado,Refinaria
Refinaria,Fortaleza
Fortaleza,Estado
Estado,Estado
Estado,Estado
Estado,Total
Total,Estado
Estado,Estado
Estado,Duque
Duque,Justiça
Justiça,Janeiro
Janeiro,Câmara
Câmara,Estado
Estado,Deputado
Deputado,Deputado
Deputado,Novo
Novo,Estado
Estado,Estado
Estado,aquio
aquio,Jandira
Jandira,Terra
Terra,Estado
Estado,Estado
Estado,campo grande moro vendedores
campo grande moro vendedores,Voltaremos
Voltaremos,Estado
Estado,Presidente voto
Presidente voto,Janeiro
Janeiro,Estado
Estado,cidade velha senhor presidente voto impit
cidade velha senhor presidente voto impit,União
União,Pregando
Pregando,Presidente Estado
Presidente Estado,Alegre
Alegre,Estado Espírito
Estado Espírito,Deputado
Deputado,Estado
Estado,Deputado
Deputado,Estado
Estado,Estado
Estado,Piauienses
Piauienses,Potiguar
Potiguar,Estado
Estado,Norte
Norte,República
República,Presidente
Presidente,Agricultor
Agricultor,Deputado
Deputado,Mineiro
Mineiro,País
País,Câmara
Câmara,Deputado
Deputado,Deputado lincol prb senhor presidente
Deputado lincol prb senhor presidente,Deputado
Deputado,Mineiro
Mineiro,Boa
Boa,Claros
Claros,Trabalhadores
Trabalhadores,Orgulho
Orgulho,Estado
Estado,Deputado
Deputado,Lagoinhas
Lagoinhas,prb senhor
prb senhor,Estado
Estado,Deputado
Deputado,Deputado
Deputado,Estado
Estado,Deputado
Deputado,país senhor presidente senhor presidente
país senhor presidente senhor presidente,Deputado senhor presidente senhor presidente
Deputado senhor presidente senhor presidente,Deputado
Deputado,rombo presidente
rombo presidente,Pernambuco
Pernambuco,Fazem manifestações
Fazem manifestações,Governador
Governador,Gerais
Gerais,Presidente
Presidente,estádio coutin voto
estádio coutin voto,Pernambucana
Pernambucana,Deputado
Deputado,Total
Total,Deputado
Deputado,Grandes
Grandes,República
República,Estado
Estado,Parlamento
Parlamento,Estado
Estado,Estado
Estado,Estado menor
Estado menor,Valadares
Valadares,Deputado azula Estado
Deputado azula Estado,Estado
Estado,Deputado
Deputado,Estado
Estado,Presidente Estado
Presidente Estado,Vejam
Vejam,Estado
