#Sentença,Texto da Sentença,Polaridade,Subjetividade
32,subiram diretora começou tumulto parte baixo plenário deputados fazem empurram maioria impõe cartazes favor empurro empurro envolve deputados favoráveis presidente dma seja manutenção presidente confusão estende local ficam diretores seja mesa diretora deputados conduzem aão emaio havendo empurra danado,0.0,0.0
33,deputados golpe golpe ter golpe ter golpe ter golpe ter Música golpe relator quero pedir faixa faixa proibido ter cima senhor presidente faixa admitido faixa admitido gan pode retirar faixas pode retirar faixa natureza plenário retirada faixa plenário pedir palavra relator abre microfone silêncio estabelecido prorrogar tempo relator consiga ter tempo silêncio palavra relator senhor presidente senhoras senhores deputados brasileiro,0.0,0.0
34,chegada hora votação parecer aprovado comissão especial tive honra rar momentos importantes história recente país verdade tarde solarada senhor presidente domingo dia abril faz hisa decidir queremos,0.0,0.0
35,Futuro país,0.0,0.0
36,situação grave adianta tirar senhores deputados virar página história hora reescrevê-la buscar busca novo tempo quero pedir pessoal direita favor dá gente falar jeito interrompe tempo gentileza quero possibilidade relator usar palavra queria pedir colegas,0.0,0.0
37,Deputado quero ocupada relator ocupada orador intervenções,0.0,0.0
38,relator líderes foi comportamento adequamos início sessão perdeu madrugadas orador senhor presidente dar resposta população brasileira fortalecendo democracia resposta conhecida escolha aleatória base legal escolha base,-0.46666666666666673,0.7333333333333334
39,Fatos há fatos graves gravíssimos atentam constituição competência casa,0.0,0.0
40,Públicas responsabilidade fiscal transparência,0.0,0.0
41,verdade país digo colegas parlamentares povo brasileiro elaborei parecer seriedade absoluta isenção trabalho dedicação,0.0,0.0
42,respeito constitui leis brasileiras sabedor relevância recomendar abertura processo crime responsabilidade país relembro,0.0,0.0
43,colegas decidindo questão legitimidade constituci senores umem contagem votos eleição popular pode eleito voto popular votos,0.6,0.9
44,autorizam descumprimento,0.0,0.0
45,Constituição votos autorizam prática atentam contas,0.0,0.0
46,Finanças,0.0,0.0
47,Públicas votos permite presidente república massacre situação econômica país projeto projeto poder votos servem justificativa prática nocivos economia país democracia saber respeitar instituições submeter,0.0,0.0
48,Constituição observar leis orçamentárias fiscais transparente trato,0.0,0.0
49,Finanças Públicas vejo diferença apropria interrompe gentileza,0.0,0.0
50,Deputado tempo peço pessoas estão liberada visão relator gentileza colocar respeito processo limpar palavras líderes função tumulto provocado virou disputa fazer apelo parlamentares t direito ficar paraos lugares plenário deixe mesa guardar tempo ter golpe queria queria dar palavra plenário chamar plenário razão processo gente vivendo podemos passar imagem apreciando processo grave luta disputa política faça façam discursos respeito ter respeito respeito companheiros deputados,0.0,0.0
51,respeito país assistindo deputados ocupavam mesa diretora retiram deputado devolve palavra relator,0.0,0.0
52,Deputado jvir arandes pedindo excelência puder cooperar espaço espaço disputado deputados espaço vai televisões televisões redes televisão,0.0,0.0
53,Filmando parte reitera pedido retirem mesa permanecer relator presidente,0.0,0.0
54,Comissão especial eh primeiro secretário Deputado mento mansu secretário Deputado felip barni terceira secretária deputada desejar participar mesa quarto,0.0,0.0
55,secretário segundo suplente registrar ausência al chamadas membros mesa podem sei primeiro vice vice quiserem participar membros titulares mesa venham participar paraa eventual ausência substituir Deputado jovai retomar tempo interrompido minutos favor retomando agradecendo atenção colegas vejo diferença apropria dinheiro público senhor presidente praticando ato corrupção mascara real situação financeira país projeto poder realiza operações contáveis ilegais,0.2,0.30000000000000004
56,gerando consequências gravíssimas situação econômica país golpe instrumento legítimo constitucional permite fiscalização controle poder,0.0,0.0
57,República relação gravidade,0.0,0.0
58,fatos 25:50 justifica intervenção fato,0.0,0.0
59,momento vejo,0.0,0.0
60,senhores parlamentares venho fazer discurso eminentemente político,0.0,0.0
61,missão vossas excelências cumpriram últimos dias interrupção casa sessão longa história parlamento brasileiro forma democrática povo brasileiro teve tem voz representada casa vossas excelências vocês,0.0,0.0
62,parabéns tem orgulho fazer parte casa especial legislatura resultado sai fortalecido,0.0,0.0
63,restabelece credibilidade merece respeito população brasileira demonstramos país temha,0.0,0.0
64,Parlamento forte câmara deputados funciona casa povo cumpra papel institucional constitui mero puxadinho tomar papel acusador cabe,0.0,0.0
65,posso passa defender parecer serenidade gritaria esperneio fazer cena disputa pode ganhar grito acusação feita,0.0,0.0
66,denunciantes jogador processo jurídico político vossas excelências senhoras,0.0,0.0
67,senhores deputados importante ressaltar vez serenidade legalidade regularidade condução trabalhos,0.0,0.0
68,comissão especial oportunidade parabenizo membros parabenizo bancada partido membros presidente comissão conduziu trabalhos forma irretocável segurança imparcialidade cordialidade respeito brasileiros brasileiras cumprimento vice-presidentes,0.0,0.0
69,comissão deputados fando coel filho começo senhor presidente buscou-se diálogo líderes deputados fixar plano trabalho,0.0,0.0
70,justo equilibrado proporcionando correntes pensamento oportunidade manifestarem decorrer debates favor contras,0.0,0.0
71,buscou-se diálogo 28:53 fim adotar procedimento tocável ponto vista constitucional legal regimental buscou-se esclarecer deputados,0.2,0.2
72,sociedade teor denúncia meio audiências públicas compareceram autores fez denúncia senora conosco dia seguinte dia seguinte ministro,0.0,0.0
73,Fazenda senhor indicados defender presidente bancada governo,0.0,0.0
74,29:40 referidas audiências houve maior amplo debate termos denúncia destacando pluralidade perspectivas realizadas senhores deputados sessões ocorreram horas debate comissão processo impeachment caracterizado Ampla publicidade transparência legitimidade assegurada cumprimento fiel normas jurídicas pertinentes fiscalização sentido exercito parlamentares partidos políticos meios comunicação sociedade brasileira fase atual relembro,0.0,0.0
75,colegas admissibilidade denúncia julgamento definitivo senado federal terá oportunidade defender forma sobram justificativas jurídicas políticas instação processo ponto vista jurídico conclui existência indícios suficientes cometimento crimes responsabilidade parte presidente conclui tendo base conteúdo denúncia recebida casa apontei único fundamento jurídico justificar abertura processo relacionado fatos admitidos decisão houve extrapolação casa deixei claro indícios crimes responsabilidades considerados relatório referiram fatos ocorridos ano relativos abertura créditos suplementares decreto presidencial autorização casa contratação ilegal operações crédito usurpando forma condição casa edição decretos abertura créditos,-0.8,1.0
76,suplementares exercício devida autorização ferir separação poderes revela comportamento unilateral viés,-0.5,0.7
77,autoritário afrontoso instituições conduta gravíssima usurpa competência legislativo fere constituição gera consequências drásticas economia consequências drásticas economia volto repetir consequências drásticas economia povo brasileiro sustenta argumento houve má fé presidente república edição referidos decretos partidos políticos denunciaram prática tribunal contas,0.0,0.0
78,União mês dezembro,0.0,0.0
79,havia Debate político ilicitude práticas retira fé objetiva presidente república deu continuidade continuou cometendo mesmos crimes houvesse poder legislativo legítimo eleito povo brasileiro fato detectou irregularidades vez ano modo exime responsabilidade senhora,0.0,0.0
80,Presidente autorizou continuar práticas longo ano agente político precisa aviso prévio cumprir leis constituição volto repetir agente político precisa aviso cumprir leis leis amplo conhecimento caráter proibitivo,0.0,0.0
81,conduta tendo vista debate público torno processo apreciação contas fato grande número técnicos governo avalizados decretos,0.0,0.0
82,Afasta responsabilidade presidente gestor recurso público pode eximir-se responsabilidade atos praticou contratação ilegal operações créditos chamadas pedaladas fiscais há indícios suficientes atrasos sistemáticos volumosos ano relação plano possui elementos essenciais característicos verdadeira operação crédito atrasos representam compromissos canalizando parte considerável recursos captados setor privado financiar despesas públicas corrent ilegal análises fatos narrado argumentos defesa apontaram indícios suficientes transações financeiras relatadas constituíram tipo financiamento bancário configurando prática crime responsabilidade afirmaram houve mafé procur presidente república governos anteriores adotado práticas concordâncias tribunal concordância verdade verdade estatísticas levantadas divulgadas imprensa revelam governo anterior atrasou tempo repasse bancos públicos reais volume gigantesco totaliza reais aliada demora pagamento dívida levou afirmar prática configurava configura contratação ilegal crédito disse alterou entendimento verdade situações ocorridas anos anteriores,0.0,0.0
83,Presidente longe semelhante atos irregularidade fiscal praticada atual administração detectou conduta ilícita primeira vez apreciação contas presidenciais atraso pagamento bancos públicos chamou atenção montante dinheiro público chegou valores exorbitantes prática continuou relatório claro dizer operação crédito ilegal decorre gestão ordinária plano safra contrário operação crédito ilegal decorre atrasos sistemáticos volumosos repasso dinheiro ultrapassaram reais razoável conceber decisão tomada laval tem comando superior governo é decisão diga-se passagem estrutura montada governo previa artificial reais gastar despesas obrigatórias responsabilidade fiscal proibia gastar dinheiro família sabe cidade cantinho situação financeira piorou passou grave fragilidade economias domésticas preciso diminuir gastos pai família sabe disse parecer formação economista notório controle centralizador condução econômica governo tornam difícil aceitar argumentação sabia fatos tratados país má fé participar ação omissão ardilosa operação crédito ilegal financiamento bancos estatais controle razões principais levaram afirmar relação pedaladas fiscais,0.04999999999999999,0.95
84,existe indícios suficientes abertura processo impeachment mandar fazer julgamento gravidade momento político preciso auxilie retomada condições governabilidade cidadãos exige resposta estabilidade econômica incertezas políticas arriscam arrastam país crise precedentes preciso manter rumo regras constitucionais estabelecidas virar página angústia povo brasileiro referindo responsabilidade homens públicos pacificar país diminuir discussões promover reconciliação nacional diálogo torno projeto governo capaz superar crise precisa muros precisa resolvem incertezas políticas indicadores indicadores econômicos deterioram condução política orçamentária estado brasileiro margem,0.0,0.0
85,Constituição leis orçamentárias evidencia grave violação valores éticos jurídicos legitimam controle democrático popular limites programação orçamentária gastos governamentais sinais paralisia tomou conta país decretos pedaladas fiscais fizeram concluir,0.6,0.9
86,admissibilidade convenceu questões efeito danoso prática condução economia país população enganada podemos Minimizar atos prejuízos,0.0,0.0
87,contabilidade criativa nociva ilegal desemprego recessão paralisação,0.0,0.0
88,programas sociais inflação aumento preços perda poder compra,0.0,0.0
89,perda,0.0,0.0
90,credibilidade encerramento empresa autta juros restrição,0.0,0.0
91,empréstimos bancários doente remédio retomada cidade governabilidade crescimento econômico podemos obir devemos momento levar considerar favores pessoais republicanos,0.0,0.0
92,vergonha casa,0.0,0.0
93,Devemos pensar melhor país voto brasileiros,0.0,0.0
94,eleitores eleitores eleitor políticos peço plenário,0.0,0.0
95,confirme relatório,0.0,0.0
96,comissão permita infrações atribuídas presidente possam julgadas,0.0,0.0
97,Senado exige merece apuração exerce poder responsável atos poder,0.0,0.0
98,responsabilidade possível regime democrático convicto comissão especial cumpriu papel debater pressupostos admissibilidade denúncia sinto-me grato conduzido nobre tarefa delegada peço licença,0.0,0.0
99,colegas deputados agradecer família filhos netos querido,0.0,0.0
100,Estado depositou confiança representá-los casa último,0.0,0.0
101,Agradeço brasileiros intensa participação cívica manifestada especial data canto dizia volto repetir dizia pode voltar fazer novo começo pode recomeçar fazer novo fim hora,0.0,0.0
102,momento reescrevermos história democrática país precisa voto falte repito precisa voto falte hora retomar protagonismo esquecido últimos anos concluo,0.0,0.0
103,Senor,0.0,0.0
104,Presidente dizendo clama fatos dem devemos autorizar estação processo senhora ilumine iniciaremos divulgado repetir critério colocar pardos blocos chamaremos líderes,0.0,0.0
105,partido ordem maior pro menor orientação acrescer tempo,0.0,0.0
106,partido minuto corresponderia orientação partidos liderança tem tempo semana,0.0,0.0
107,utilizaram tiver utilizado minuto colocado será partir facultada palavra líderes partidos tempo,0.0,0.0
108,responsabilidade líder utiliza forma convier dividir pode dividir problema responsável tempo terá prorrogação chamo senhor senhor presidente senhoras,0.0,0.0
109,senhores deputados inicio fala saudando bancada representações partidárias assento casa iniciamos sessão histórica analisada analisada páginas história devemos fazer sessão clima,0.0,0.0
110,paz respeito democracia exemplo devemos dar sociedade assiste fazendo brincadeira disputa jogo futebol contrário,0.0,0.0
111,graves sanções previstas previstas ordenamento jurídico cabe posição posição defesa princípios republicanos brasileira longo semana bancada reuniu meio semana tomar decisão lado lutou liberdades direito voto garantias individuais restabelecidas país compromisso povo brasileiro inabalável há momento história brasileira circunstância levará partido agir forma diferente defesa democracia ideais liberdade,0.0,0.0
112,Federativa bancada exercendo liberdade exercendo direito decisão consciente optou voto favorável processo impedimento bancada Tomou decisão entender circunstâncias políticas país vive circunstâncias levaram início,0.0,0.0
113,processo impedimento presidência república preenchidas cabe momento qualidade líder forma direta confesso disse discurso semana forma emocionado geração viveria momento reafirmo disse discurso sexta-feira início debates processo bancada encaminhar voto sabemos sabemos aconteça acontec dia teremos dia nova etapa Vida nacional partido político movimento cidadão precisa ter responsabilidade país possível disputas políticas ambições políticas continuem levar trouxe país momento faço registro apelo sentemos mesa passamos discutir futuro imediato,0.0,0.0
114,Federativa pessoas vivendo verdade pessoas vivendo reivindicam t direito reivindicar verdade temos fazer parte criar ambiente político necessário ambiente político propício avanços,0.0,0.0
115,possam ocorrer agiu lideranças bancada agiu polo ativo processo exercemos exercemos responsabilidade quero fazer agradecimento especial bancada conhece posicionamento conhece posicionamento companheiros bancada acompanharão posição bancada faço faço,0.0,0.0
116,agradecimento bancada faço agradecimento bancada compreensão respeito tiveram posição fácil quero dizer companheiro companheira partido respeito posição vocês desejo possa exercer voto coerência necessária desejo necessário transformação país,0.0,0.0
117,fim processo sair grandes vencidos ven fim processo deve vitória vitória povo brasileiro dias melhores viva democracia juntos cumprir dever vota encarecer sessão ocorra seriedade merece povo brasileiro,0.0,0.0
118,espera merece excelência continuar usar tempo tempo continuar usar tempo,0.0,0.0
119,Deputado encerrou encerrou lembrando lembrando lembrando excelências colocar orientação painel partidos ter guiar cabe orientação acrescemos,0.0,0.0
120,tempo minuto,0.0,0.0
121,queremos processo tenha coisa rumo haverá orientação colocada referência referência partidos chama falar tempo temp coloque tempo gentileza senhoras deputadas senhores deputados bancada combativa,0.0,0.0
122,Senado pcd b senadores senadoras golpe povo brasileiro pessoas,0.0,0.0
123,rua especial consciência democrática constituída,0.0,0.0
124,homens,0.0,0.0
125,mulheres fazem oposição governo dizendo só voz democracia ter golpe fundamenta motivos fundamentais constituiu-se comissão apreciar proposta abertura processo impeachment chapa partidos,0.0,0.0
126,Aliados garantiu deputado deputado jovair garantiu imparcialidade límpida tese governo há crime responsabilidade tivemos dúvida vossas excelências teriam postura,0.0,0.0
127,Imparcial andar funcionamento comissão cerceamento defesa,0.0,0.0
128,apresentação relatório defesa feita advogado reale comissão plenário defesa,0.0,0.0
129,feita comissão plenário ficou nítido há crime responsabilidade voz ruas repercute plenário somada nítida ausência crime responsabilidade impeach golpe momento deputadas deputados indecisos deputadas deputados pretendiam revelam fez vice-presidente casa votar querem rechaçar risco posto futuro derrota terceiro motivo terceiro motivo fundamental candidatura pretendida eleição indireta presidente Câmara ré jornais mundo publicaram corruptos querem derrubar presidenta mulher honesta visão brasileiros brasileiras tem votação ter presidência república tivéssemos eleição indireta,0.0,0.0
130,temos votação buscava lastrear discurso anticorrupção perdeu legitimidade manifestações dia,0.0,0.0
131,citados vezes delações premiadas investigações metrô merenda postos correr manifestação convocaram manifestações líderes oposição postos correr,0.0,0.0
132,Ficou claro procurador lava-jato ex-procurador geral disseram tratar polícia federal estadistas deu 58:03 autonomia polícia federal mandou projeto lei tem combate corrupção,0.0,0.0
133,centro delação premiada governo querem dar golpe liderança cara chapa temer chapa chapa tem histórico ficou conhecido engavetador analistas,0.0,0.0
134,profissionais comunicação dizem objetivo parar investigações corrupção lava jato chegou lugar tem tem sabe combate corrupção povo defende democracia pessoal,0.0,0.0
135,pco movimento luta moradia,0.0,0.0
136,intelectuais artistas artistas rua artistas,0.0,0.0
137,grande,0.0,0.0
138,mídia dizendo golpe passará impitma tem crime responsabilidade impit golpe relatório golpe defesa dizendo melhorar pretendendo jogar incerteza regimes exceção iniciam discurso aconteceu em4 mesmo apoio setores mídia mesmos setores faz autocrítica lavam mãos políticos golpistas vão lixo história plenário repercutir posição majoritária sociedade brasileira momento últimas pesquisas pesquisas metade entrevistados impitma Pode oposição governo rejeita mich presidência república elei indireta golpe democracia chapa cuia pode passar passará plenário temos pessoas ruas SEMA pelag dizendo impit crime responsabilidade golpe impit crime responsabilidade fere fundamento fundamento inalienável república vontade Popular mundo entendeu debate mérito relator advogado re advogado decretos publicados tinham cobertura lei orçamentária houve aproximação revisão metas determinou fosem publicados publicados relatório instrumento busca legitimidade jurídica golpe sozinho tem golpe liderança presidente tentou encaminhar forma chamada,0.6,0.9
139,Ausentes medo indecisos posicionando favor querem manchar biografias querem legar filhos querem enfrentar eleitorado portadores mácula respeitado voto popular jogar aprofundar conflitos vigentes presidenta disse partir conclama povo brasileiro forças políticas,0.6,0.9
140,reag glutin país pacificar dizemos pacificação feita execução programa eleito segundo turno partir respeito voto estabilização política,0.0,0.0
141,fim palta,0.0,0.0
142,bomba fim desestabilização partir presidência câmara retomada normalidade institucional retomar geração emprego último ano primeiro governo chegou menor desemprego história maior poder aquisitivo,0.0,0.0
143,salários partir conclamamos forças políticas pacificar país retomar democracia retomar geração emprego renda garantir,0.0,0.0
144,maior Povo,0.0,0.0
145,voto popular,0.6,0.9
146,impit impit golpe vamos Vitória bom chamo,0.0,0.0
147,Aplausos,0.0,0.0
148,democracia democracia democracia palavra senhor colegas parlamentares brasileiros acompanham partes país momento histórico fundamental plenário ten consciência papel responsabilidade hora dia decisivo escolher queremos frente voto dado marcados julgados terá oportunidade esc forma entrar história será porta frente votando impeach porta fundos mãos dadas governo presidente mentiu país cometeu continuadamente crime responsabilidade consequência arruinou economia levando país profunda crise terá oportunidade escolher forma filhos netos referir vocês orgulho dado chance vergonha transformados sócios governo retrocesso mergulhado,0.0,0.0
149,corrupção terá oportunidade escolher forma enfrentar brasileiros mobilizados norte sul,0.0,0.0
150,país cabeça baixa tlos traído cabeça erguida olhando olhos timento dever cumprido votado terá oportunidade escolher dizer brasileiros perderam empregos,0.0,0.0
151,penam atendimento médico vem redução dramática recursos educação reais,0.0,0.0
152,corrupção sistêmica desenfreada corrupção compara corrupção pune votei impeach mudar situação voltei nadae famí esperança história senhores,0.0,0.0
153,esquecerá escolha,0.0,0.0
154,Chegada decidir acham brasileiros merecem messal petrolão pichu lecos,0.0,0.0
155,organização criminosa infiltrada estado governado presidente elegeu campanha financiada propina petrolão disse faria diabo eleições fez governado presidente mentiu país prometeu reduzir contas luz haveria doses tra brasileiros tra brasileiros governado presidente permitiu maior escalo corrupção planeta desenvolvesse nariz fez informaçõ presidente respeita instituições imprensa livre trama obstruir investigações lava-jato proteger ex-presidente desemprego recessão inflação roubalheira presidente partido peço atenção presidente,0.0,0.0
156,partido mal causaram país tentam dividir brasileiros incos conflito fazem ameaças momento chama paz,0.0,0.0
157,união brasileiros cantos país querem escolhamos desejam merecem capaz reencontrar caminho reconstrução moral base desenvolvimento justo nação respeita constituição,-0.4,0.625
158,instituições valores absolutos democracia liberdade imprensa pensamento,0.0,0.0
159,opinião brasileiros querem viver decente livre impunidade volte ter esperança oportunidades falo falo nome combativa bancada orgulha orgulha primeiro momento feito escolha ficar lado votar impeach pode governado presidente república desenganada maculou cargo confiado,0.0,0.0
160,Senor senhores câmara,0.0,0.0
161,deputados conceber assumiu dever cumpri-la respeitá-la preservá-la proteger democracia casa imbuída responsabilidade exercer poder povo emana pode ignorar vontade pode acovardar história votar votar impeach viva brasileiros chamo fazer fala acompanha sessão discute parecer pede abertura processo impeachment presidente mar russef ressaltar momento deputados sinalizaram presença plenário câmara deputados vez deputados tendo acesso imagens exteriores congresso nacional conseguem ver meio telão acontecendo manifestações registradas frente congresso,0.0,0.0
162,Nacional,0.0,0.0
163,senhoras,0.0,0.0
164,senhores parlamentares,0.0,0.0
165,partido partido progressista construiu posição forma democrática debatendo discutindo participação quiser construímos posição única,0.0,0.0
166,homens mulheres forma livre determinada partir posição tomada maioria absoluta bem-aventurada nação povo escolheu herança precisamos fazer reflexão profunda atual momento preciso tolerância Respeito opiniões divergentes consolidação verdadeira democracia é faço apelo coisa apelo final doloroso processo merecíamos passar resultado possamos ter compromisso nação só objetivo vivendo dia política dia história temos consciência responsabilidade nação temos obrigação ajudar país sair Encruzilhada iremos umaa decepcionar povo brasileiro hora grave temos falar atos convicção firmeza mesquinhez pequenez dever encaminhar voto bancada,0.0,1.0
167,partido progressista partir deliberação maioria absoluta determinou deputados deputadas devem votar admissibilidade,0.0,0.0
168,processo impedimento senhora proferir encaminhamento final bancada obriga-me consciência repetir obriga-me consciência reg dialogando hisa sabem honrado indicação,0.0,1.0
169,partido,0.0,0.0
170,partido progressista fazer parte primeiro governo presidente posição,0.0,0.0
171,Ministro cidades iros dije oportunismo hora cabe papel encaminhar voto,0.0,0.0
172,partido direção julgar chefe tem dever procurar justo tempo exerci função,0.0,0.0
173,Ministro primeiro governo posso atestar qualidades inúmeras qualidades senhora presidenta presidenta dedicada presidente disciplinada obstinada fiel convicções casa eminentemente política julgando pessoa presidente russef julgando governo opiniões pessoais certas erradas favoráveis desfavoráveis podem consideradas alto fala dever grande realidade é país precisa retomar normalidade podemos conviver estagnação comemos conviver paralisia impasse permanente solução crime responsabilidade cometido debate controverso aprovado com parecer comissão especial apena parte problema problema maior precisa seguir frente governo tido grande dificuldade condução partir precisa unir hora grave precisa voltar ter esperança voltar construir futuro sociedade determinação executiva partido maioria absoluta fechando questão encaminho bancada,0.0,0.0
174,Progressista votar admissibilidade processo abençoe ilumine mantenhamos firme esperança possamos construir país melhor,0.0,0.0
175,chamo partido,0.0,0.0
176,República fazer fala senhor presidente senhoras,0.0,0.0
177,senhores deputados,0.0,0.0
178,partido,0.0,0.0
179,República semente originária remota fundação,0.0,0.0
180,partido inesquecível primeira metade anos edificante legado liberalismo social orienta republicanismo moderno estabelecimento parâmetros,0.03333333333333333,0.06666666666666667
181,ação política senhor presidente constitui salvaguarda repele voluntário voluntarismo equívocos retrocessos,0.0,0.0
182,cometeram conduta política comprometeram conduta política gente intencionada passado,0.0,0.0
183,fundação partido liberal refundação partido,0.0,0.0
184,República materializa reafirmação crenças pessoa livre titular direitos naturais inalienáveis estado protetor,0.1,0.1
185,direitos humanos comum crença partido paradigma orienta limites vida partidária acreditamos senhor presidente indivíduo deve,0.0,0.0
186,dia buscar verdade aspirar sentido propriedade medida preventiva eventuais pretensões usurpação dedicamos esforço vigilância partir ambiente plural aberto situações preconceitos,0.0,0.0
187,radicalismo rejeitamos conseguinte senhores senhoras deputados forma ideologia exclusiva opressora visão hermética realidade,0.0,0.0
188,partido,0.0,0.0
189,República,0.0,0.0
190,natureza plural irrestrita espaço militância política pr-requisito vinculado desejo justiça social conseguinte senhoras senhores trata-se legenda pode esperar fundamentalismo recurso administração divergências há tempo mundo descobriu partidos políticos guardam semelhança chamadas seitas baseadas submissão intelectual grupos coletivistas republicanos liberais comando partido político pode vinculado dogmatismos respeitem ser humano individualidade senhoras,0.03333333333333333,0.06666666666666667
191,senhores partido República submetido patrulhamentos degradação política motivo divergência senhoras,0.0,0.0
192,senhores deputados,0.0,0.0
193,partido processo impeachment garantiu divergência bancada patrocinou amplo direito manifestação senhor presidente dividido divergentes tempo liderança partido tinha direito defender voto impeachment abertura debates admissibilidade consta pauta voto deputado contexto processo impitma momento legislador reafirma representação condição magistrado parlamentar parlamentar caso vota decidir matéria lei opinar propriedades orçamentárias governo decisão impeachment implicações vinculada solidão consciência senhoras,0.0,0.0
194,senhores deputados,0.0,0.0
195,decisão fechamento questão,0.0,0.0
196,processo impeachment agressão incompatível natureza,0.0,0.0
197,partido,0.0,0.0
198,República senhor presidente quer dizer legenda republicana tenha guardar semelhança grupamentos desarticulados inorgânicos alheio orientação unitária,0.0,0.0
199,partido,0.0,0.0
200,República,0.0,0.0
201,partido tem linha,0.0,0.0
